Address,bMonsters,rMonsters
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140079?gameHash=dbb9bb7d7de9f65d,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/150027?gameHash=d21ea232ac7fc0eb,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/150115?gameHash=43f90d30295886ce,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/150124?gameHash=0a02aa64c01ceb87,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/20576?gameHash=0a3beb15f7c320c9,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/20687?gameHash=ed210438ad530eec,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/20696?gameHash=1e12a1b8ba33ab8d,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/20697?gameHash=857bc264af323722,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/20746?gameHash=b7af9586e2d9b4ac,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/20889?gameHash=c31a2ad798746e06,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/20899?gameHash=56d6e88b2e467163,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/210197?gameHash=c2bae4da2272e641,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/210206?gameHash=5262a932fc06a2e3,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/210211?gameHash=9674aafead6f44ed,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/210242?gameHash=2b76ed33b893522b,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/210264?gameHash=02a8d730270fef8c,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/210270?gameHash=3dddc415fa21fed6,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/210277?gameHash=ee4f25acf83a0c87,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/210342?gameHash=7f558c65ed1df133,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/210343?gameHash=cfd57ac3ec98b210,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220036?gameHash=8ddd196d430ab3f2,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220047?gameHash=32cfd1427dbbfb7b,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220112?gameHash=bbf9ef6696f94288,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220122?gameHash=455b035e62959622,1,2
