,Address,golddiff,rResult,bResult,rKills,bKills,rBOTLANE_kills,rMIDLANE_kills,rTOPLANE_kills,bBOTLANE_kills,bMIDLANE_kills,bTOPLANE_kills
2978,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300235?gameHash=d360a074f0f8e538,252,1,0,5,5,1,0,0,2,0,1
2979,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300235?gameHash=d360a074f0f8e538,252,1,0,5,5,0,0,1,2,0,1
2980,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/300235?gameHash=d360a074f0f8e538,252,1,0,5,5,0,0,1,2,0,1
2981,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340254?gameHash=7ed59e2e1ced0887,-4000,1,0,6,2,0,1,0,1,0,0
2982,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340254?gameHash=7ed59e2e1ced0887,-4000,1,0,6,2,1,0,0,1,0,0
2983,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340254?gameHash=7ed59e2e1ced0887,-4000,1,0,6,2,0,0,1,1,0,0
2984,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340267?gameHash=1c5719180df107cf,1279,1,0,3,3,1,0,0,1,0,1
2985,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340267?gameHash=1c5719180df107cf,1279,1,0,3,3,0,0,1,1,0,1
2986,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340309?gameHash=a51560f4a4f20611,-859,1,0,5,3,0,0,1,1,1,0
2987,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/340314?gameHash=2a5224b23c1d8e28,-629,1,0,4,4,0,0,1,1,0,0
2988,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/330026?gameHash=4ccd4544ba87ed32,653,1,0,1,3,0,0,1,1,1,2
2989,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/330026?gameHash=4ccd4544ba87ed32,653,1,0,1,3,1,0,0,1,1,2
2990,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/330026?gameHash=4ccd4544ba87ed32,653,1,0,1,3,1,0,0,1,1,2
2991,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/330027?gameHash=f083c7c8c9ec7255,2442,0,1,4,6,0,0,1,1,1,1
2992,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/330029?gameHash=b108a4eae7b60764,4112,0,1,3,8,1,0,0,1,1,1
2993,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/330039?gameHash=f829856ed8768f1f,609,0,1,3,5,1,0,0,1,1,1
2994,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/330039?gameHash=f829856ed8768f1f,609,0,1,3,5,0,0,1,1,1,1
2995,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/330050?gameHash=24d8ed3817c6cab8,-890,1,0,3,3,1,0,0,0,1,0
2996,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/330051?gameHash=254a7d51323fa8c5,581,0,1,2,1,1,0,0,0,0,1
2997,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/80?gameHash=fda8d1273a9670f4,-4358,1,0,6,1,0,0,1,0,0,1
2998,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/80?gameHash=fda8d1273a9670f4,-4358,1,0,6,1,1,0,0,0,0,1
2999,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/80?gameHash=fda8d1273a9670f4,-4358,1,0,6,1,0,1,0,0,0,1
3000,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/81?gameHash=c67f4feed212a0e6,-1301,1,0,2,1,1,0,0,0,0,1
3001,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/89?gameHash=ae88b54a1ed5ae48,691,0,1,3,4,0,0,1,0,1,0
3002,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10226?gameHash=d4eb79a510abb629,1106,0,1,5,5,1,0,0,0,1,2
3003,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10251?gameHash=9dafdc83cc19c259,-542,1,0,8,7,1,0,0,1,0,1
3004,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10251?gameHash=9dafdc83cc19c259,-542,1,0,8,7,0,0,1,1,0,1
3005,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10263?gameHash=eca1714625f0c25f,1814,0,1,5,8,0,0,1,1,0,0
3006,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/10265?gameHash=ceb6e530fe2f27ab,-1408,1,0,4,3,0,0,1,1,0,0
3007,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/30121?gameHash=d469f5cab3e75813,785,1,0,1,1,0,0,1,0,1,0
3008,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/30176?gameHash=8d5ad750c57bc64b,441,1,0,3,4,1,0,0,0,0,1
3009,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/20411?gameHash=2c09f68f48dbc77c,-28,1,0,8,6,0,1,0,0,0,2
3010,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/20411?gameHash=2c09f68f48dbc77c,-28,1,0,8,6,1,0,0,0,0,2
3011,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/20466?gameHash=5e7a3932bbef4735,250,0,1,3,3,0,0,1,0,1,0
3012,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/50159?gameHash=81aa1d30ee2c7252,-143,0,1,9,10,0,1,0,0,0,1
3013,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/90070?gameHash=ab64605ad5f0ddd9,594,0,1,3,5,0,0,1,1,0,0
3014,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/90087?gameHash=b4523225026d7579,1778,0,1,1,4,0,1,0,0,0,1
3015,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/90121?gameHash=1f158ff95d9b2cc8,-274,0,1,4,2,0,1,0,0,0,1
3016,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/90344?gameHash=02d103562773df56,-992,1,0,8,6,1,0,0,0,0,1
3017,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/100097?gameHash=341f5ea7a81738f1,1282,0,1,10,5,0,0,1,1,1,0
3018,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/100239?gameHash=416113d0131e0ac0,-1497,0,1,2,3,1,0,0,1,0,0
3019,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/100239?gameHash=416113d0131e0ac0,-1497,0,1,2,3,0,0,1,1,0,0
3020,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/100240?gameHash=0c5af8a515682272,-1816,1,0,6,2,0,1,0,0,0,1
3021,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/100266?gameHash=be2d5667ead8db1c,-434,1,0,6,4,1,0,0,0,0,1
3022,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRLT4/120049?gameHash=edfacb6226c8169d,-979,1,0,4,4,1,0,0,0,1,1
3023,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRLT4/120049?gameHash=edfacb6226c8169d,-979,1,0,4,4,0,0,1,0,1,1
3024,http://matchhistory.las.leagueoflegends.com/es/#match-details/TRLT4/120049?gameHash=edfacb6226c8169d,-979,1,0,4,4,0,1,0,0,1,1
3025,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/180642?gameHash=0bc346f3817d248f,1564,0,1,1,3,1,0,0,0,0,1
3026,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/180688?gameHash=8366678883d60795,2456,0,1,3,3,0,0,1,2,1,0
3027,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/180691?gameHash=2d6046dba78fa1f3,-2462,0,1,4,1,0,0,1,0,1,0
3028,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/210123?gameHash=4abd8d7804a5eb36,809,1,0,2,1,0,1,0,0,0,1
3029,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/210132?gameHash=20238a5bcd9b5bcf,428,0,1,5,5,0,1,0,1,1,0
3030,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/210132?gameHash=20238a5bcd9b5bcf,428,0,1,5,5,0,0,1,1,1,0
3031,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/210145?gameHash=75e2adf98ebcdd77,-1449,1,0,4,6,0,1,0,1,0,1
3032,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/210160?gameHash=f6d469d70ca90007,-370,1,0,4,5,0,1,0,1,0,0
3033,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/210166?gameHash=ed940d393f907fa2,-1563,1,0,7,3,0,0,1,0,1,0
3034,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/210169?gameHash=d0ba83fba36c3418,-1028,0,1,4,4,1,0,0,0,0,1
3035,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/210289?gameHash=9876cf1faf7a1867,1014,0,1,4,11,0,0,1,1,0,0
3036,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/210325?gameHash=bd8cad1829935ad3,507,1,0,5,5,0,0,1,1,0,0
3037,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/220120?gameHash=41ae31a6fafcd862,1812,1,0,2,2,0,1,0,1,0,0
3038,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/220225?gameHash=3565248407b76ca6,-197,1,0,2,1,0,1,0,1,0,0
3039,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/220225?gameHash=3565248407b76ca6,-197,1,0,2,1,1,0,0,1,0,0
3040,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/220250?gameHash=ce051dd7d89627a1,270,0,1,2,4,1,0,0,1,0,1
3041,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/220250?gameHash=ce051dd7d89627a1,270,0,1,2,4,0,0,1,1,0,1
3042,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/220250?gameHash=ce051dd7d89627a1,270,0,1,2,4,0,1,0,1,0,1
3043,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/220253?gameHash=786bb6bda9bf58f9,-1114,1,0,6,3,0,0,1,1,0,0
3044,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/220253?gameHash=786bb6bda9bf58f9,-1114,1,0,6,3,0,1,0,1,0,0
3045,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/230510?gameHash=40a97236aab5a4e3,-251,0,1,6,6,0,0,1,1,1,0
3046,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/230612?gameHash=39cf4393e04e73d0,1181,0,1,5,6,0,0,1,0,0,1
3047,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/230615?gameHash=03ebf7428bb0fd0c,133,1,0,5,7,0,0,1,0,1,1
3048,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/230615?gameHash=03ebf7428bb0fd0c,133,1,0,5,7,1,0,0,0,1,1
3049,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/250165?gameHash=dd34053b5ebf1893,128,1,0,4,5,0,0,1,1,0,0
3050,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/240245?gameHash=0865eb9b96fb26e6,146,0,1,5,4,0,0,1,1,0,0
3051,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/240245?gameHash=0865eb9b96fb26e6,146,0,1,5,4,1,0,0,1,0,0
3052,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/240251?gameHash=9422c7b7918e7ed2,-1565,1,0,4,2,1,0,0,0,0,2
3053,http://matchhistory.las.leagueoflegends.com/es/#match-details/ESPORTSTMNT02/240258?gameHash=f58221a6be33d222,775,0,1,2,2,1,0,0,0,1,1
