,Address,golddiff,rResult,bResult,rKills,bKills,rBOTLANE_kills,rMIDLANE_kills,rTOPLANE_kills,bBOTLANE_kills,bMIDLANE_kills,bTOPLANE_kills,bMonsters,rMonsters
4937,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1001570110?gameHash=aee171257730a8a7,1254.0,0,1,2,6,0,1,0,1,1,2,1,1
4938,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1001570110?gameHash=aee171257730a8a7,1254.0,0,1,2,6,0,0,1,1,1,2,1,1
4939,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1001570112?gameHash=e0677d5081e97a47,5634.0,0,1,3,6,0,0,1,2,1,2,1,3
4940,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1001570112?gameHash=e0677d5081e97a47,5634.0,0,1,3,6,1,0,0,2,1,2,1,3
4941,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570113?gameHash=4e40231e2c88e314,-672.0,1,0,3,4,0,0,1,1,0,2,1,1
4942,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570113?gameHash=4e40231e2c88e314,-672.0,1,0,3,4,1,0,0,1,0,2,1,1
4943,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570113?gameHash=4e40231e2c88e314,-672.0,1,0,3,4,0,1,0,1,0,2,1,1
4944,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570119?gameHash=b7b01bf7c22c8855,4520.0,0,1,2,6,0,0,1,2,1,1,2,1
4945,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570121?gameHash=2250570845289502,-6410.0,1,0,6,2,1,0,0,1,0,1,1,2
4946,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570121?gameHash=2250570845289502,-6410.0,1,0,6,2,0,1,0,1,0,1,1,2
4947,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570121?gameHash=2250570845289502,-6410.0,1,0,6,2,1,0,0,1,0,1,1,2
4948,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570121?gameHash=2250570845289502,-6410.0,1,0,6,2,0,0,1,1,0,1,1,2
4949,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1001580189?gameHash=d5fde3abc274f9f0,1948.0,1,0,5,4,0,0,1,1,1,1,3,1
4950,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH3/1001580189?gameHash=d5fde3abc274f9f0,1948.0,1,0,5,4,0,1,0,1,1,1,3,1
